,epoch,training_time,NO2_median,NO2_mean,CO_median,CO_mean,O3_median,O3_mean
0,1.0,61.417595,12.26042,14.135048,25.985912,25.819386,24.73958,36.618534
0,2.0,63.294696,12.26042,14.186436,25.986246,25.78992,24.73958,36.568954
0,3.0,48.442423,12.73958,14.234898,25.984913,25.821924,24.73958,36.560425
0,4.0,43.127639,12.495978,14.148883,25.984581,25.867908,24.73958,36.632996
0,5.0,37.671235,12.73958,14.146982,25.984913,25.89465,24.73958,36.518555
0,6.0,37.200495,12.26042,14.087484,25.984913,25.796389,24.73958,36.67996
0,7.0,41.226723,12.6621685,14.224098,25.984913,25.82792,24.73958,36.54471
0,8.0,48.103333,12.26042,14.093921,25.98558,25.840277,24.73958,36.646633
0,9.0,44.386272,12.315605,14.181009,25.984913,25.843103,24.73958,36.61088
0,10.0,45.131908,12.73958,14.169165,25.987247,25.920198,24.73958,36.588177
