Time,PM10,Biossido di Azoto,Biossido Zolfo,Ozono
2020-07-31 01:00:00,19.0,8.0,1.0,96.0
2020-07-31 02:00:00,18.0,7.0,1.0,92.0
2020-07-31 03:00:00,19.0,8.0,1.0,82.0
2020-07-31 04:00:00,18.0,10.0,1.0,74.0
2020-07-31 05:00:00,16.0,13.0,1.0,64.0
2020-07-31 06:00:00,16.0,22.0,1.0,49.0
2020-07-31 07:00:00,17.0,31.0,2.0,36.0
2020-07-31 08:00:00,15.0,27.0,2.0,37.0
2020-07-31 09:00:00,15.0,19.0,2.0,48.0
2020-07-31 13:00:00,9.0,13.0,2.0,101.0
2020-07-31 14:00:00,8.0,13.0,2.0,123.0
2020-07-31 15:00:00,9.0,15.0,2.0,135.0
2020-07-31 16:00:00,9.0,14.0,3.0,139.0
2020-07-31 17:00:00,10.0,14.0,3.0,138.0
2020-07-31 18:00:00,16.0,21.0,2.0,154.0
2020-07-31 19:00:00,22.0,21.0,2.0,164.0
2020-07-31 20:00:00,23.0,19.0,1.0,139.0
2020-07-31 21:00:00,20.0,12.0,1.0,117.0
2020-07-31 22:00:00,23.0,16.0,1.0,101.0
2020-07-31 23:00:00,26.0,17.0,2.0,99.0
2020-08-01 00:00:00,28.0,14.0,2.0,94.0
2020-08-01 01:00:00,26.0,14.0,2.0,89.0
2020-08-01 02:00:00,25.0,17.0,2.0,69.0
2020-08-01 03:00:00,24.0,15.0,2.0,61.0
2020-08-01 04:00:00,24.0,18.0,2.0,44.0
2020-08-01 05:00:00,24.0,21.0,2.0,38.0
2020-08-01 06:00:00,25.0,24.0,2.0,33.0
2020-08-01 07:00:00,25.0,26.0,3.0,31.0
2020-08-01 08:00:00,24.0,22.0,3.0,39.0
2020-08-01 09:00:00,26.0,19.0,2.0,52.0
2020-08-01 10:00:00,26.0,16.0,3.0,69.0
2020-08-01 11:00:00,22.0,14.0,2.0,92.0
2020-08-01 12:00:00,16.0,12.0,2.0,109.0
2020-08-01 13:00:00,13.0,10.0,2.0,133.0
2020-08-01 14:00:00,12.0,11.0,2.0,151.0
2020-08-01 15:00:00,11.0,9.0,2.0,140.0
2020-08-01 16:00:00,11.0,9.0,2.0,139.0
2020-08-01 17:00:00,15.0,13.0,3.0,154.0
2020-08-01 18:00:00,19.0,15.0,3.0,155.0
2020-08-01 19:00:00,21.0,20.0,2.0,147.0
2020-08-01 20:00:00,23.0,27.0,2.0,124.0
2020-08-01 21:00:00,20.0,12.0,1.0,119.0
2020-08-01 22:00:00,18.0,7.0,1.0,113.0
2020-08-01 23:00:00,20.0,7.0,1.0,110.0
2020-08-02 00:00:00,20.0,7.0,1.0,105.0
2020-08-02 01:00:00,19.0,8.0,1.0,96.0
2020-08-02 02:00:00,17.0,9.0,1.0,89.0
2020-08-02 03:00:00,16.0,8.0,1.0,87.0
2020-08-02 04:00:00,16.0,8.0,1.0,85.0
2020-08-02 05:00:00,14.0,9.0,1.0,80.0
2020-08-02 06:00:00,15.0,11.0,1.0,72.0
2020-08-02 07:00:00,14.0,12.0,1.0,65.0
2020-08-02 08:00:00,14.0,11.0,1.0,62.0
2020-08-02 09:00:00,12.0,9.0,2.0,66.0
2020-08-02 10:00:00,11.0,9.0,2.0,71.0
2020-08-02 11:00:00,11.0,7.0,1.0,85.0
2020-08-02 12:00:00,8.0,6.0,1.0,101.0
2020-08-02 13:00:00,7.0,6.0,1.0,107.0
2020-08-02 14:00:00,7.0,8.0,1.0,114.0
2020-08-02 15:00:00,9.0,6.0,2.0,121.0
2020-08-02 16:00:00,8.0,8.0,1.0,118.0
2020-08-02 17:00:00,9.0,11.0,1.0,114.0
2020-08-02 18:00:00,12.0,10.0,1.0,113.0
2020-08-02 19:00:00,13.0,21.0,1.0,92.0
2020-08-02 20:00:00,14.0,19.0,1.0,89.0
2020-08-02 21:00:00,15.0,35.0,1.0,62.0
2020-08-02 22:00:00,13.0,20.0,1.0,78.0
2020-08-02 23:00:00,13.0,12.0,1.0,83.0
2020-08-03 00:00:00,12.0,10.0,1.0,88.0
2020-08-03 01:00:00,10.0,5.0,1.0,94.0
2020-08-03 02:00:00,11.0,5.0,1.0,92.0
2020-08-03 03:00:00,9.0,5.0,1.0,88.0
2020-08-03 04:00:00,9.0,7.0,1.0,82.0
2020-08-03 05:00:00,9.0,12.0,1.0,68.0
2020-08-03 06:00:00,8.0,15.0,1.0,60.0
2020-08-03 07:00:00,8.0,26.0,1.0,47.0
2020-08-03 08:00:00,8.0,21.0,1.0,53.0
2020-08-03 09:00:00,9.0,16.0,1.0,61.0
2020-08-03 10:00:00,9.0,13.0,1.0,66.0
2020-08-03 11:00:00,9.0,15.0,2.0,67.0
2020-08-03 12:00:00,7.0,14.0,1.0,74.0
2020-08-03 13:00:00,8.0,18.0,2.0,75.0
2020-08-03 14:00:00,9.0,24.0,1.0,69.0
2020-08-03 15:00:00,10.0,17.0,1.0,73.0
2020-08-03 16:00:00,8.0,17.0,1.0,68.0
2020-08-03 17:00:00,7.0,33.0,1.0,50.0
2020-08-03 18:00:00,6.0,26.0,1.0,51.0
2020-08-03 19:00:00,6.0,39.0,1.0,37.0
2020-08-03 20:00:00,7.0,34.0,1.0,39.0
2020-08-03 21:00:00,8.0,19.0,1.0,53.0
2020-08-03 22:00:00,7.0,9.0,1.0,69.0
2020-08-03 23:00:00,9.0,11.0,1.0,60.0
2020-08-04 00:00:00,10.0,6.0,1.0,63.0
2020-08-04 01:00:00,11.0,5.0,1.0,60.0
2020-08-04 02:00:00,7.0,4.0,1.0,62.0
2020-08-04 03:00:00,6.0,5.0,1.0,63.0
2020-08-04 04:00:00,4.0,5.0,1.0,65.0
2020-08-04 05:00:00,4.0,6.0,1.0,63.0
2020-08-04 06:00:00,4.0,9.0,1.0,58.0
2020-08-04 07:00:00,4.0,16.0,1.0,47.0
2020-08-04 08:00:00,4.0,24.0,1.0,39.0
2020-08-04 09:00:00,4.0,37.0,1.0,26.0
2020-08-04 10:00:00,4.0,28.0,1.0,33.0
2020-08-04 11:00:00,5.0,28.0,1.0,28.0
2020-08-04 12:00:00,6.0,39.0,1.0,16.0
2020-08-04 13:00:00,6.0,32.0,1.0,24.0
2020-08-04 14:00:00,5.0,19.0,1.0,37.0
2020-08-04 15:00:00,4.0,13.0,1.0,48.0
2020-08-04 16:00:00,3.0,15.0,1.0,49.0
2020-08-04 17:00:00,3.0,20.0,1.0,50.0
2020-08-04 18:00:00,4.0,29.0,1.0,37.0
2020-08-04 19:00:00,4.0,24.0,1.0,45.0
2020-08-04 20:00:00,2.0,6.0,1.0,76.0
2020-08-04 21:00:00,2.0,4.0,1.0,78.0
2020-08-04 22:00:00,2.0,4.0,1.0,78.0
2020-08-04 23:00:00,2.0,5.0,1.0,77.0
2020-08-05 00:00:00,2.0,4.0,1.0,77.0
2020-08-05 01:00:00,2.0,5.0,1.0,69.0
2020-08-05 02:00:00,2.0,6.0,1.0,66.0
2020-08-05 03:00:00,3.0,5.0,1.0,66.0
2020-08-05 04:00:00,3.0,8.0,1.0,59.0
2020-08-05 05:00:00,3.0,13.0,1.0,49.0
2020-08-05 06:00:00,3.0,22.0,1.0,38.0
