Time	R1	R2	R3	R4	R5	R6	R7	R8	T1	T2	T3	T4	T5	T6	T7	T8	TEMP_BME	TEMP	HUM_BME	HUM	PM10	Biossido di Azoto	Ozono	Biossido Zolfo	Ossido di Carbonio
Jan 13 2021 00:00:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	null	null	null	null	null	null	null	null	null	null	null	null	50	69	4	3	1.1
Jan 13 2021 01:00:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	null	null	null	null	null	null	null	null	null	null	null	null	49	68	4	3	1.0
Jan 13 2021 02:00:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	null	null	null	null	null	null	null	null	null	null	null	null	48	64	4	3	0.9
Jan 13 2021 03:00:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	null	null	null	null	null	null	null	null	null	null	null	null	44	64	4	3	0.9
Jan 13 2021 04:00:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	null	null	null	null	null	null	null	null	null	null	null	null	39	65	4	3	0.8
Jan 13 2021 05:00:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	null	null	null	null	null	null	null	null	null	null	null	null	35	67	3	3	0.9
Jan 13 2021 06:00:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	null	null	null	null	null	null	null	null	null	null	null	null	32	70	3	4	1.1
Jan 13 2021 07:00:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	null	null	null	null	null	null	null	null	null	null	null	null	34	78	4	6	1.1
Jan 13 2021 08:00:00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	null	null	null	null	null	null	null	null	null	null	null	null	34	85	5	8	1.1
Jan 13 2021 09:00:00	71319164.23076923	79023593	107819897.92307693	72044205.07692307	462443582.9230769	81627413.3076923	313828916.0769231	314829166.7692308	65.83076923076923	65.03846153846153	69.90769230769232	70.0923076923077	64.99230769230769	69.5	72.82307692307694	71.32307692307693	23.184615384615388	26.807692307692307	25.553846153846152	22.553846153846152	34	81	7	7	1.1
